AtomicNumber,Element,Symbol,AtomicMass,NumberofNeutrons,NumberofProtons,NumberofElectrons,Phase,Natural,Metal,Nonmetal,Metalloid,Type,Discoverer,Year
97,Berkelium,Bk,247,150,97,97,artificial,,yes,,,Actinide,Seaborg et al.,1949
98,Californium,Cf,251,153,98,98,artificial,,yes,,,Actinide,Seaborg et al.,1950
99,Einsteinium,Es,252,153,99,99,artificial,,yes,,,Actinide,Ghiorso et al.,1952
100,Fermium,Fm,257,157,100,100,artificial,,yes,,,Actinide,Ghiorso et al.,1953
101,Mendelevium,Md,258,157,101,101,artificial,,yes,,,Actinide,Ghiorso et al.,1955
102,Nobelium,No,259,157,102,102,artificial,,yes,,,Actinide,Ghiorso et al.,1958
103,Lawrencium,Lr,262,159,103,103,artificial,,yes,,,Actinide,Ghiorso et al.,1961
104,Rutherfordium,Rf,261,157,104,104,artificial,,yes,,,Transactinide,Ghiorso et al.,1969
105,Dubnium,Db,262,157,105,105,artificial,,yes,,,Transactinide,Ghiorso et al.,1970
106,Seaborgium,Sg,266,160,106,106,artificial,,yes,,,Transactinide,Ghiorso et al.,1974
107,Bohrium,Bh,264,157,107,107,artificial,,yes,,,Transactinide,Armbruster and M�nzenberg,1981
108,Hassium,Hs,267,159,108,108,artificial,,yes,,,Transactinide,Armbruster and M�nzenberg,1983
109,Meitnerium,Mt,268,159,109,109,artificial,,yes,,,Transactinide,"GSI, Darmstadt, West Germany",1982
110,Darmstadtium ,Ds ,271,161,110,110,artificial,,yes,,,Transactinide,,1994
111,Roentgenium ,Rg ,272,161,111,111,artificial,,yes,,,Transactinide,,1994
112,Copernicium ,Cn ,285,173,112,112,artificial,,yes,,,Transactinide,,1996
113,Nihonium,Nh,284,171,113,113,artificial,,yes,,,,,2004
114,Flerovium,Fl,289,175,114,114,artificial,,yes,,,Transactinide,,1999
115,Moscovium,Mc,288,173,115,115,artificial,,yes,,,,,2010
116,Livermorium,Lv,292,176,116,116,artificial,,yes,,,Transactinide,,2000
117,Tennessine,Ts,295,178,117,117,artificial,,,yes,,,,2010
118,Oganesson,Og,294,176,118,118,artificial,,,yes,,Noble Gas,,2006
